"","soc_uni","soc","occupation","id","new_descript","word","definition"
"278","43-5032","43-5032.00","Dispatchers, Except Police, Fire, and Ambulance"," 2729","Keep track of all calls and radio messages in an area. Make sure the right people stay in touch with each other.",NA,NA
"279","43-5032","43-5032.00","Dispatchers, Except Police, Fire, and Ambulance"," 2731","Keep and update files about what customers ask for and what work is performed. Keep track of costs, charges, items on hand, and more.",NA,NA
"280","43-5071","43-5071.00","Shipping, Receiving, and Traffic Clerks","20276","Make sure shipments include the right items. Compare to records, forms, and orders.",NA,NA
"281","43-5071","43-5071.00","Shipping, Receiving, and Traffic Clerks"," 4739","Keep records on shipments. Keep track of how much they weigh and how much space they fill. Keep track of charges. Note any problems.",NA,NA
"282","43-5071","43-5071.00","Shipping, Receiving, and Traffic Clerks"," 4741","Talk to or write to buyers to solve shipping problems. Deal with broken or missing items, and more.",NA,NA
"283","43-9021","43-9021.00","Data Entry Keyers","11401","Read reports, bills, checks, and more. Record data in the right place on tapes or disks for later entry. Use keyboards or scanners.",NA,NA
"284","43-9021","43-9021.00","Data Entry Keyers","11404","Store finished reports and records in the right places.","store","To keep something for later use."
"285","43-9021","43-9021.00","Data Entry Keyers","11407","Figure out what items are needed to do a task.",NA,NA
"286","43-9061","43-9061.00","Office Clerks, General","  830","Use office machines. Copy, scan, or fax papers and forms. Check voice mail. Use computers.",NA,NA
"287","43-9061","43-9061.00","Office Clerks, General","  827","Answer phones and forward calls. Take messages.",NA,NA
"288","43-9061","43-9061.00","Office Clerks, General","  833","Open and sort incoming mail. Make sure it gets where it needs to go. Answer letters. Prepare outgoing mail.",NA,NA
"289","45-2011","45-2011.00","Agricultural Inspectors","14859","Set standards for meat and poultry products. Set rules for additives used to prepare or package foods.","poultry","Birds such as chickens, ducks, turkeys, geese, and fowl."
"290","45-2011","45-2011.00","Agricultural Inspectors","14859","Set standards for meat and poultry products. Set rules for additives used to prepare or package foods.","additive","Something added to food or drink, often to keep it fresh or add flavor."
"291","45-2011","45-2011.00","Agricultural Inspectors","14852","Make sure workers follow rules to keep their workplace clean and safe.",NA,NA
"292","45-2011","45-2011.00","Agricultural Inspectors","14862","Set standards for food labels. Check food labels for meat and poultry products.","poultry","Birds such as chickens, ducks, turkeys, geese, and fowl."
"293","45-2091","45-2091.00","Agricultural Equipment Operators","13355","Make sure farm machines are working well. Adjust and repair them, as needed. Report any problems.",NA,NA
"294","45-2091","45-2091.00","Agricultural Equipment Operators","13364","Use bolts and hand tools to attach farm tools to tractors. Farm tools include plows, sprayers, and more.",NA,NA
"295","45-2091","45-2091.00","Agricultural Equipment Operators","13366","Drive trucks to carry crops, supplies, tools, or farm workers.",NA,NA
"296","47-2021","47-2021.00","Brickmasons and Blockmasons"," 4773","Use hand tools to scrape off extra mortar. Use jointing tools to seal, smooth, and finish.","mortar","Something spread between bricks and stones to stick them together."
"297","47-2021","47-2021.00","Brickmasons and Blockmasons"," 4773","Use hand tools to scrape off extra mortar. Use jointing tools to seal, smooth, and finish.","joint","The place where two things meet."
"298","47-2021","47-2021.00","Brickmasons and Blockmasons"," 4772","Break or cut bricks, tiles, or blocks. Make them the right size. Use a hammer, power saw, or trowel.",NA,NA
"299","47-2021","47-2021.00","Brickmasons and Blockmasons"," 4771","Attach bricks and other building materials to a structure. Use clamps, cement, torches, and more.","structure","Something that is built."
"300","47-2041","47-2041.00","Carpet Installers"," 2835","Check the area that carpet will cover. Fix any spots that might show through the carpet or cause problems.",NA,NA
"301","47-2041","47-2041.00","Carpet Installers","20142","Clean up before and after carpet is put in. Vacuum the carpet. Get rid of any extra pieces.",NA,NA
"302","47-2041","47-2041.00","Carpet Installers"," 2843","Put metal strips across door openings and where the carpet meets the floor. The strips will hold carpet in place.",NA,NA
"303","47-2042","47-2042.00","Floor Layers, Except Carpet, Wood, and Hard Tiles"," 8255","Check the area that carpet will cover. Make sure it is firm and dry.","firm","Hard or stiff."
"304","47-2042","47-2042.00","Floor Layers, Except Carpet, Wood, and Hard Tiles"," 8256","Cut off extra flooring or carpet to make it fit. Attach edges to floor. Join pieces of flooring or carpet so they fit tightly.",NA,NA
"305","47-2042","47-2042.00","Floor Layers, Except Carpet, Wood, and Hard Tiles"," 8264","Remove extra cement. Clean the surface after it is in place.","surface","The outside of something."
"306","47-2044","47-2044.00","Tile and Marble Setters"," 2848","Make sure tiles line up and are straight. Use levels, squares, and other tools.","tiles","Thin, hard squares. Can be made of clay, stone, marble, wood, and other things."
"307","47-2044","47-2044.00","Tile and Marble Setters"," 2851","Finish tile joints and clean between tiles.","joint","The place where two things meet."
"308","47-2044","47-2044.00","Tile and Marble Setters"," 2851","Finish tile joints and clean between tiles.","tiles","Thin, hard squares. Can be made of clay, stone, marble, wood, and other things."
"309","47-2044","47-2044.00","Tile and Marble Setters"," 2853","Mix and spread the material that tiles will stick to. That might be plaster, concrete, mortar, cement, glue, or something else. Use a brush or other tools.","tiles","Thin, hard squares. Can be made of clay, stone, marble, wood, and other things."
"310","47-2044","47-2044.00","Tile and Marble Setters"," 2853","Mix and spread the material that tiles will stick to. That might be plaster, concrete, mortar, cement, glue, or something else. Use a brush or other tools.","mortar","Something spread between bricks and stones to stick them together."
"311","47-2051","47-2051.00","Cement Masons and Concrete Finishers"," 7049","Spread and smooth concrete. Make sure it is even and flat. Use hand tools or power tools to do so.",NA,NA
"312","47-2051","47-2051.00","Cement Masons and Concrete Finishers"," 7051","Make sure concrete stays damp inside mixer. Check how wind, heat, or cold affects dampness.","damp","A little bit wet."
"313","47-2051","47-2051.00","Cement Masons and Concrete Finishers"," 7063","Spread roofing paper over a floor surface. Spread concrete over the roofing paper. This will be the base for marble tiles.","surface","The outside of something."
"314","47-2051","47-2051.00","Cement Masons and Concrete Finishers"," 7063","Spread roofing paper over a floor surface. Spread concrete over the roofing paper. This will be the base for marble tiles.","tiles","Thin, hard squares. Can be made of clay, stone, marble, wood, and other things."
"315","47-2061","47-2061.00","Construction Laborers","11457","Control traffic that is near, in, or around work zones.","zone","An area set aside for a certain task."
"316","47-2061","47-2061.00","Construction Laborers","11455","Clean and ready building sites. Get rid of anything that could be a risk.",NA,NA
"317","47-2061","47-2061.00","Construction Laborers","11471","Help craft workers. Those workers include masons and people who put down carpets and plaster.",NA,NA
"318","47-2071","47-2071.00","Paving, Surfacing, and Tamping Equipment Operators"," 4798","Use machines to spread, smooth, strengthen, and flatten road beds. Work with stone, concrete, and pavement.",NA,NA
"319","47-2071","47-2071.00","Paving, Surfacing, and Tamping Equipment Operators"," 4805","Make sure pavement is even. Adjust the settings and flow of paving machines, as needed. Show workers the places where paving is not even.",NA,NA
"320","47-2071","47-2071.00","Paving, Surfacing, and Tamping Equipment Operators"," 4797","Check, clean, and fix paving machines. Use hand tools. Report any problems with machines.",NA,NA
"321","47-2073","47-2073.00","Operating Engineers and Other Construction Equipment Operators"," 9849","Learn and follow rules to stay safe.",NA,NA
"322","47-2073","47-2073.00","Operating Engineers and Other Construction Equipment Operators"," 9861","Check how much fuel is on hand at building sites. Make sure there is enough.",NA,NA
"323","47-2073","47-2073.00","Operating Engineers and Other Construction Equipment Operators"," 9872","Keep track of the equipment and materials that workers use. Make note of any problems.",NA,NA
"324","47-2082","47-2082.00","Tapers","13530","Seal cracks, holes, and spaces between boards and panels. Use trowels and other tools to spread sealing mix.",NA,NA
"325","47-2082","47-2082.00","Tapers","13537","Fill holes and smooth surfaces. Spread on extra layers of sealing mix.",NA,NA
"326","47-2082","47-2082.00","Tapers","13541","Pick the right sealing mix or tape to use.",NA,NA
"327","47-2121","47-2121.00","Glaziers","11485","Figure out how straight walls or ceilings are. Use plumb lines and levels.","plumb line","A cord with a piece of lead on the end."
"328","47-2121","47-2121.00","Glaziers","11495","Drive trucks to carry mirrors, glass, equipment, and tools.",NA,NA
"329","47-2121","47-2121.00","Glaziers","11506","Pick the right kind of glass or mirror based on what a buyer needs.",NA,NA
"330","47-2131","47-2131.00","Insulation Workers, Floor, Ceiling, and Wall","13545","Measure and cut insulation. Use tape measures, saws, knives, scissors, and more.","insulation","Material that keeps in heat and keeps out cold. It can also keep out damp, or wet, air."
"331","47-2131","47-2131.00","Insulation Workers, Floor, Ceiling, and Wall","13546","Cover and line structures with insulation. Use saws, knives, blowers, and other tools to do so.","insulation","Material that keeps in heat and keeps out cold. It can also keep out damp, or wet, air."
"332","47-2131","47-2131.00","Insulation Workers, Floor, Ceiling, and Wall","13548","Cover, seal, and clean insulated surfaces or holes. Use plastic covers, fabric strips, tape, cement, and more to do so.","insulated","Filled or treated with a material that keeps in heat and keeps out cold."
"333","47-2131","47-2131.00","Insulation Workers, Floor, Ceiling, and Wall","13548","Cover, seal, and clean insulated surfaces or holes. Use plastic covers, fabric strips, tape, cement, and more to do so.","surface","The outside of something."
"334","47-2141","47-2141.00","Painters, Construction and Maintenance","11512","Fill in holes, cracks, and joints. Use putty, plaster, and other fillers to do so. Use putty knives and filling guns.",NA,NA
"335","47-2141","47-2141.00","Painters, Construction and Maintenance","11511","Use cloths or masking tape and paper to cover surfaces. Protect surfaces from dripping paint.","surface","The outside of something."
"336","47-2141","47-2141.00","Painters, Construction and Maintenance","11516","Read or receive work orders from boss or homeowner. Figure out what is needed to do the job.","receive","To get or take in."
"337","47-2221","47-2221.00","Structural Iron and Steel Workers","11544","Read blueprints and building plans. Figure out how much material is needed and where.","blueprint","A drawing that shows how something will be built."
"338","47-2221","47-2221.00","Structural Iron and Steel Workers","11546","Use bolts to connect columns and beams. Follow blueprints and orders from worker in charge.","column","A support that stands upright."
"339","47-2221","47-2221.00","Structural Iron and Steel Workers","11546","Use bolts to connect columns and beams. Follow blueprints and orders from worker in charge.","blueprint","A drawing that shows how something will be built."
"340","47-2221","47-2221.00","Structural Iron and Steel Workers","11548","Use bolts to line up and connect steel parts that will then be fixed in place.",NA,NA
"341","47-2231","47-2231.00","Solar Photovoltaic Installers","17740","Follow steps and rules to set up solar panels or supports.","solar","Something that gets its power from the sunlight."
"342","35-2021","35-2021.00","Food Preparation Workers"," 2199","Get food ready for take-out orders. Serve food to people.",NA,NA
"343","35-2021","35-2021.00","Food Preparation Workers"," 2220","Work in a line of other workers to get food trays ready. Add food, napkins, and other items to trays.",NA,NA
"344","35-2021","35-2021.00","Food Preparation Workers","18733","Use a cash register. Take payments and give back change.",NA,NA
"345","35-3021","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food"," 2242","Take payments from people and give back change.",NA,NA
"346","35-3021","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food"," 2243","Take and record food orders. Add up bills on paper or use a machine to do so.",NA,NA
"347","35-3021","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food"," 2254","Give food to servers.",NA,NA
"348","35-3022","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"," 2260","Serve food and drinks from behind a counter. Work in lunchrooms, take-out windows, and other places.",NA,NA
"349","35-3022","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"," 2265","Add up money owed for food. Use cash registers or adding machines. Take payments and give back change.",NA,NA
"350","35-3022","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","18742","Cook or prepare food. Follow standard rules and steps to make sandwiches, salads, and more.",NA,NA
"351","35-3031","35-3031.00","Waiters and Waitresses"," 2279","Check to see if customers are enjoying their food. Try to fix any problems.",NA,NA
"352","35-3031","35-3031.00","Waiters and Waitresses"," 2277","Take food orders. Write them down, remember them, or enter them into a computer. Bring orders to kitchen staff.",NA,NA
"353","35-3031","35-3031.00","Waiters and Waitresses"," 2278","Take food and drink orders from people.",NA,NA
"354","35-3041","35-3041.00","Food Servers, Nonrestaurant","11159","Carry food, napkins, and silverware on trays. Use carts to carry trays.",NA,NA
"355","35-3041","35-3041.00","Food Servers, Nonrestaurant","11157","Prepare food orders. Make sandwiches, salads, soups, or drinks.",NA,NA
"356","35-3041","35-3041.00","Food Servers, Nonrestaurant","11155","Keep bars and food stands filled with needed items. Refill ice, napkins, straws, and more.","refill","To fill again."
"357","35-9011","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","11163","Use damp cloths to wipe off tables or chairs. Change dirty tablecloths.","damp","A little bit wet."
"358","35-9011","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","11165","Scrape food off dirty dishes. Stack and carry dishes and tableware. Bring items to kitchen for cleaning.","stack","To put in a neat pile."
"359","35-9011","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","11176","Carry trays from food counters to tables.",NA,NA
"360","35-9021","35-9021.00","Dishwashers","11186","Wash dishes, glasses, and silverware. Wash pots and pans. Use a dishwasher or clean by hand.",NA,NA
"361","35-9021","35-9021.00","Dishwashers","11187","Put clean dishes, glasses, or pans in storage places.","storage","Somewhere to keep something for later use."
"362","35-9021","35-9021.00","Dishwashers","11190","Sweep or wash floors.",NA,NA
"363","35-9031","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"," 2297","Greet guests and seat them at tables or in waiting areas.",NA,NA
"364","35-9031","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"," 2296","Give menus to guests.","menu","A listing of foods that people can buy at a restaurant."
"365","35-9031","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"," 2305","Use cash registers to take payments for food and drink.",NA,NA
"366","37-3011","37-3011.00","Landscaping and Groundskeeping Workers"," 9594","Pick up and clear away litter.","litter","Things dropped on the ground, often trash."
"367","37-3011","37-3011.00","Landscaping and Groundskeeping Workers","20761","Use vehicles or power machines. Drive mowers, tractors, snow blowers, and more. Use chain-saws, clippers, cutters, and more.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"368","37-3011","37-3011.00","Landscaping and Groundskeeping Workers"," 9597","Keep sidewalks, driveways, and parking lots clear. Keep grounds looking good. Take care of fountains, planters, and more.",NA,NA
"369","39-2021","39-2021.00","Nonfarm Animal Caretakers"," 5075","Check animals for health problems. Watch for signs of illness or injury.",NA,NA
"370","39-2021","39-2021.00","Nonfarm Animal Caretakers"," 5079","Groom animals. Wash, brush, clip, and cut their fur. Cut their nails and clean their ears.",NA,NA
"371","39-2021","39-2021.00","Nonfarm Animal Caretakers"," 5087","Make sure animal holding areas are warm, cool, damp, or dry enough. Adjust controls to get the right setting.","damp","A little bit wet."
"372","39-3091","39-3091.00","Amusement and Recreation Attendants"," 5119","Sell tickets and collect fees from the public.",NA,NA
"373","39-3091","39-3091.00","Amusement and Recreation Attendants"," 5122","Use machines to clean and smooth the ice in skating and sports rinks.",NA,NA
"374","39-3091","39-3091.00","Amusement and Recreation Attendants"," 5131","Help people get on or off amusement park rides, boats, or ski lifts. Help people get on or off animals.","amusement park","A park with games, rides, booths, and food."
"375","41-2011","41-2011.00","Cashiers"," 2400","Take payments by cash, check, or credit card. Take vouchers and other forms of payment.","voucher","A note given in place of money."
"376","41-2011","41-2011.00","Cashiers"," 2401","Give buyers receipts and change owed. Give refunds and credits owed.","receipts","Records showing that payments were made or money is owed."
"377","41-2011","41-2011.00","Cashiers"," 2413","Sell tickets and other things to the public.",NA,NA
"378","41-2021","41-2021.00","Counter and Rental Clerks","  682","Greet customers. Find out what items they want to rent and how many they need.",NA,NA
"379","41-2021","41-2021.00","Counter and Rental Clerks","  681","Answer phones. Take orders and tell people what they need to know.",NA,NA
"380","41-2021","41-2021.00","Counter and Rental Clerks","  690","Rent items. Set up services for renters. Take back items that renters return.",NA,NA
"381","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","13410","Feed and water livestock. Make sure there is enough food and water on hand.","livestock","Animals kept or raised on a farm or ranch."
"382","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","13411","Drive trucks, tractors, and other equipment to bring feed to livestock.","livestock","Animals kept or raised on a farm or ranch."
"383","45-2093","45-2093.00","Farmworkers, Farm, Ranch, and Aquacultural Animals","13426","Keep records of growth, feeding, production, and costs.","production","The act of making something."
"384","45-4022","45-4022.00","Logging Equipment Operators"," 9807","Control hydraulic tractors that have tree clamps and booms. Use the equipment to lift, swing, and bunch trees that have been cut.","hydraulic","Powered by water or other liquids."
"385","45-4022","45-4022.00","Logging Equipment Operators"," 9807","Control hydraulic tractors that have tree clamps and booms. Use the equipment to lift, swing, and bunch trees that have been cut.","bunch","To put together in a group."
"386","45-4022","45-4022.00","Logging Equipment Operators"," 9806","Grade logs by following set standards. Give grades based on knot size, straightness, and more.",NA,NA
"387","45-4022","45-4022.00","Logging Equipment Operators"," 9808","Drive tractors and tree harvesters. Use them to cut the tops off of trees. Use them to cut tree branches and logs.",NA,NA
"388","47-3014","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","13612","Clean work areas and machines.",NA,NA
"389","47-3014","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","13613","Help masons and workers who paint, put up plaster, or hang paper and billboards. Do support tasks.",NA,NA
"390","47-3014","47-3014.00","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","13614","Tape, cover, and protect spots that could get stained or damaged by work.",NA,NA
"391","47-4071","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","11602","Use cell phones, pagers, or radios to talk with bosses and workers.",NA,NA
"392","47-4071","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","11601","Drive trucks to move workers, supplies, and equipment from place to place.",NA,NA
"393","47-4071","47-4071.00","Septic Tank Servicers and Sewer Pipe Cleaners","11604","Use equipment to clean sewers. Use water jets, flushers, and more.",NA,NA
"394","47-5011","47-5011.00","Derrick Operators, Oil and Gas"," 9890","Check derricks for problems. Clean and oil them. Keep them in good working order.","derricks","Tower-like frames set up over drill holes."
"395","47-5011","47-5011.00","Derrick Operators, Oil and Gas"," 9899","Make mud reports. Tell crews how to handle any chemicals that must be used.",NA,NA
"396","47-5011","47-5011.00","Derrick Operators, Oil and Gas"," 9900","Put holding clamps on the ends of cables used to lift things into the air.",NA,NA
"397","47-5071","47-5071.00","Roustabouts, Oil and Gas"," 7118","Keep pipe deck and main deck clean and neat.",NA,NA
"398","47-5071","47-5071.00","Roustabouts, Oil and Gas"," 7119","Guide cranes to move loads about decks.",NA,NA
"399","47-5071","47-5071.00","Roustabouts, Oil and Gas"," 7120","Bring needed equipment to the rig floors. Help roughnecks.","roughnecks","Workers on an oil-drilling rig."
"400","51-3022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers"," 8803","Separate meat, organs, and bone. Put them in their own containers. Seal the containers.","separate","To set apart."
"401","51-3022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers"," 8807","Make foods that are ready to heat up and serve. Cut meat or fish into pieces. Prepare and add vegetables, sauces, or breading.",NA,NA
"402","51-3022","51-3022.00","Meat, Poultry, and Fish Cutters and Trimmers"," 8800","Make hamburger meat and meat trimmings.",NA,NA
"403","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12121","Load machines that wash or dry-clean. Direct others to load the machines.",NA,NA
"404","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12137","Mix bleaches with hot water in vats. Soak items until they are bleached.","bleach","A chemical that makes things turn white."
"405","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12137","Mix bleaches with hot water in vats. Soak items until they are bleached.","vats","Big containers."
"406","51-6011","51-6011.00","Laundry and Dry-Cleaning Workers","12134","Spread dirty items on work tables. Place them so that stains can be cleaned.",NA,NA
"407","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3166","Make sure vehicle equipment is working well. Check lights, brakes, horns, wipers, and more.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"408","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3183","Turn the meter on when riders enter the cab. Turn it off when riders reach where they are going.",NA,NA
"409","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3180","Take fares or vouchers from riders. Give back change or receipts, as needed.","voucher","A note given in place of money."
"410","53-3041","53-3041.00","Taxi Drivers and Chauffeurs"," 3180","Take fares or vouchers from riders. Give back change or receipts, as needed.","receipts","Records showing that payments were made or money is owed."
"411","53-7011","53-7011.00","Conveyor Operators and Tenders","10757","Use your hands to load, unload, and move products on conveyors. Use lifts and open gates.","conveyors","Machines that move products from one place to another, often rolling them along a belt."
"412","53-7011","53-7011.00","Conveyor Operators and Tenders","10756","Take samples of products. Check to make sure they meet standards, or send them to a lab for testing.","lab","Short for laboratory. A place where tests are done."
"413","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","schedule","A list of times and dates when tasks will get done."
"414","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","delivered","Sent or brought to a buyer."
"415","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","arrange","Put something in order; fit together."
"416","53-7011","53-7011.00","Conveyor Operators and Tenders","10752","Read schedules for when products must be made and delivered. Work with supervisors to meet deadlines. Set up how and when to sort, move, and arrange shipment on pallets.","pallet","A low platform or board."
"417","11-9051","11-9051.00","Food Service Managers"," 1080","Make sure food is prepared the right way. Check that the right amount is made and that the food looks good.",NA,NA
"418","11-9051","11-9051.00","Food Service Managers","15199","Count money and put it in a bank account.",NA,NA
"419","11-9051","11-9051.00","Food Service Managers"," 1098","Greet guests and show them to their seats. Give them menus and wine lists.","menu","A listing of foods that people can buy at a restaurant."
"420","23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers"," 9231","Check records such as deeds, maps, contracts, and more. Find out legal facts about a house, building, or land. Check how it is described, who owns it, and more.",NA,NA
"421","23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers"," 9234","Check property titles. Find out if there are taxes owed or limits on how a property can be used.","title","Proof that you own something."
"422","23-2093","23-2093.00","Title Examiners, Abstractors, and Searchers"," 9230","Make lists of all signed legal papersabout a piece of land and the buildings on it.",NA,NA
"423","27-1023","27-1023.00","Floral Designers"," 1722","Choose flowers and plants to put together and display. Come up with different mixes and ways to arrange them.","display","Put something out for people to see."
"424","27-1023","27-1023.00","Floral Designers"," 1722","Choose flowers and plants to put together and display. Come up with different mixes and ways to arrange them.","arrange","Put something in order; fit together."
"425","27-1023","27-1023.00","Floral Designers"," 1721","Water plants. Cut and clean flowers and plants and get them ready for storage.","storage","Somewhere to keep something for later use."
"426","27-1023","27-1023.00","Floral Designers"," 1726","Keep records and do office tasks. Help customers, answer phones, make sales, and take payments.",NA,NA
"427","27-2011","27-2011.00","Actors"," 7646","Work with other actors as part of a group or team.",NA,NA
"428","27-2011","27-2011.00","Actors"," 7651","Sing or dance. Act in comedies or dramas.","comedies","Shows that are funny."
"429","27-2011","27-2011.00","Actors"," 7651","Sing or dance. Act in comedies or dramas.","dramas","Shows that are serious."
"430","27-2011","27-2011.00","Actors"," 7653","Promote plays and movies by talking to the press.","promote","To get something noticed."
"431","27-3012","27-3012.00","Public Address System and Other Announcers","20891","Pick and play music that is right for the crowd.",NA,NA
"432","27-3012","27-3012.00","Public Address System and Other Announcers"," 7702","Tell the crowd about changes to a program, game, or event.",NA,NA
"433","27-3012","27-3012.00","Public Address System and Other Announcers"," 7711","Give info to workers who run the scoreboard at a game.",NA,NA
"434","29-2051","29-2051.00","Dietetic Technicians"," 4164","Keep track of how much food a patient eats. Report progress and problems to dietician.","dietician","An expert on healthy eating."
"435","29-2051","29-2051.00","Dietetic Technicians"," 4165","Make a major meal. Follow recipes. Figure out how much food and what kind of food is needed.","recipe","Instructions that tell you how to make a meal."
"436","29-2051","29-2051.00","Dietetic Technicians"," 4167","Make sure food is prepared and served in the right way. Help dietary and nutrition aides plan or guide food service.","dietary and nutrition aides","People who help with programs for healthy eating."
"437","31-1011","31-1011.00","Home Health Aides"," 4240","Keep records about patient care. Track patients’ health and progress. Report and discuss problems with the person in charge.",NA,NA
"438","31-1011","31-1011.00","Home Health Aides","20577","Bathe and wash patients.",NA,NA
"439","31-1011","31-1011.00","Home Health Aides","18695","Give patients prescribed drugs to swallow. Make sure they take the drugs. Follow written orders from a doctor, nurse, or aide.","prescribed","Ordered by a doctor."
"440","31-1013","31-1013.00","Psychiatric Aides","20578","Listen to patients with mental health problems. Support their feelings and encourage them.","encourage","To cheer on and support."
"441","31-1013","31-1013.00","Psychiatric Aides","18696","Check on the well-being of mental health patients. Make sure they aren’t acting in a harmful or unusual way. Report findings to staff in charge.","unusual","Not normal."
"442","31-1013","31-1013.00","Psychiatric Aides","18698","Enter doctors’ orders into a computer. Answer phones calls. Keep track of health info. Do office tasks.",NA,NA
"443","31-1014","31-1014.00","Nursing Assistants","19317","Respond to patients who ask for help. Answer call lights, bells, and intercoms.","intercom","A sound system that someone can speak through."
"444","31-1014","31-1014.00","Nursing Assistants","19334","Remind patients to take prescribed drugs. Make sure they eat any supplements needed.","prescribed","Ordered by a doctor."
"445","31-1014","31-1014.00","Nursing Assistants","19334","Remind patients to take prescribed drugs. Make sure they eat any supplements needed.","supplement","Something added to a person’s diet."
"446","31-1014","31-1014.00","Nursing Assistants","19335","Make sure patients’ rooms have basic care items. Those items include towels, soap, toilet paper, and more.",NA,NA
"447","31-1015","31-1015.00","Orderlies","19366","Move patients in wheelchairs, stretchers, and beds with wheels. Bring them to get treatments, tests, surgery, and more.",NA,NA
"448","31-1015","31-1015.00","Orderlies","19356","Clean equipment and supplies to get rid of germs. Use equipment or products that kill germs.","germ","A tiny living thing that spreads illness."
"449","31-1015","31-1015.00","Orderlies","19353","Clean equipment, wheelchairs, beds, and more. Keep a record of repairs or fixes needed.",NA,NA
"450","31-2022","31-2022.00","Physical Therapist Aides"," 4273","Clean and tidy work areas after treatment. Use cleaning products that kill germs.","tidy","To make something neat."
"451","31-2022","31-2022.00","Physical Therapist Aides"," 4273","Clean and tidy work areas after treatment. Use cleaning products that kill germs.","germ","A tiny living thing that spreads illness."
"452","31-2022","31-2022.00","Physical Therapist Aides"," 4275","Teach patients how to do health exercises. Make sure they exercise safely. Help them and cheer them on. Follow orders from medical staff.","health exercises","Ways to move your body to make it strong or healthy."
"453","31-2022","31-2022.00","Physical Therapist Aides"," 4279","Keep track of patients’ treatments. Keep track of equipment used.",NA,NA
"454","31-9093","31-9093.00","Medical Equipment Preparers"," 4293","Run steam machines that kill germs. Keep records of items cleaned in machines. Make sure machines stay in good working order. Keep track of upkeep.","germ","A tiny living thing that spreads illness."
"455","31-9093","31-9093.00","Medical Equipment Preparers"," 4292","Get medical tools ready for steam cleaning. Clean tools before putting them in machines.",NA,NA
"456","31-9093","31-9093.00","Medical Equipment Preparers"," 4291","Put medical tools used for surgery on trays. Put them in the right order. Make sure tools and trays are germ-free.","germ","A tiny living thing that spreads illness."
"457","31-9095","31-9095.00","Pharmacy Aides"," 2052","Use a cash register to make cash and credit sales.",NA,NA
"458","31-9095","31-9095.00","Pharmacy Aides"," 2046","Answer questions over the phone. Pass on calls to the pharmacist when needed.","pharmacist","A person with a license to give out drugs and medicine."
"459","31-9095","31-9095.00","Pharmacy Aides"," 2050","Get labels ready for prescribed drugs. Type or print labels. Use a computer.","prescribed","Ordered by a doctor."
"460","33-3011","33-3011.00","Bailiffs","20123","Screen people going into a courthouse. Use metal detectors, x-rays, and more. Check for weapons and other items not allowed in court.","screen","Check carefully."
"461","33-3011","33-3011.00","Bailiffs","20125","Make sure the courtroom is safe and clean. Make sure there are supplies such as pens and notepads on hand.",NA,NA
"462","33-3011","33-3011.00","Bailiffs","20128","Keep the court docket up to date.","docket","The list of cases waiting to go to trial."
